timestamp,chisel_pink_1_x,chisel_pink_1_y,chisel_pink_2_x,chisel_pink_2_y,hammer_yellow_x,hammer_yellow_y,chisel_pink_1_confidence,chisel_pink_2_confidence,hammer_yellow_confidence,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1738061305.5645943,,,,,0,0,,,0,,,,,,
1738061305.624421,,,,,0,0,343,202,1,,,,,,
1738061305.684121,,,,,0,0,,,0,,,,,,
1738061305.7247558,,,,,0,0,196,244,1,,,,,,
1738061305.8149517,,,,,0,0,192,243,1,,,,,,
1738061305.8687613,,,,,0,0,193,244,1,,,,,,
1738061305.905649,,,,,0,0,192,238,1,,,,,,
1738061305.939287,,,,,0,0,195,237,1,,,,,,
1738061305.9630868,,,,,0,0,196,238,1,,,,,,
1738061306.0236037,,,,,0,0,198,236,1,,,,,,
1738061306.0696244,,,,,0,0,201,232,1,,,,,,
1738061306.1171713,,,,,0,0,220,228,1,,,,,,
1738061306.1574502,,,,,0,0,232,217,1,,,,,,
1738061306.2172232,,,,,0,0,252,213,1,,,,,,
1738061306.250595,,,,,0,0,270,209,1,,,,,,
1738061306.2688773,,,,,0,0,292,207,1,,,,,,
1738061306.3546953,,,,,0,0,315,206,1,,,,,,
1738061306.3880363,,,,,0,0,337,209,1,,,,,,
1738061306.4956024,,,,,0,0,359,216,1,,,,,,
1738061306.5247023,,,,,0,0,383,227,1,,,,,,
1738061306.633068,,,,,0,0,405,238,1,,,,,,
1738061306.660492,,,,,0,0,170,428,1,,,,,,
1738061307.0274622,,,,,0,0,171,429,1,,,,,,
1738061307.1295867,,,,,0,0,170,429,1,,,,,,
1738061307.2305045,,,,,0,0,508,332,1,,,,,,
1738061307.2492266,,,,,0,0,514,347,1,,,,,,
1738061307.2693639,,,,,0,0,494,336,1,,,,,,
1738061307.3236191,,,,,0,0,486,347,1,,,,,,
1738061307.372532,,,,,0,0,478,356,1,,,,,,
1738061307.4416878,,,,,0,0,475,362,1,,,,,,
1738061307.4663403,,,,,0,0,477,370,1,,,,,,
