step,x,y,segment_length,cumulative_length
93,52,38,3.0,118.57168890796865
94,53,37,1.4142135623730951,119.98590247034174
95,54,37,1.0,120.98590247034174
96,55,37,1.0,121.98590247034174
97,55,38,1.0,122.98590247034174
98,54,38,1.0,123.98590247034174
99,56,38,2.0,125.98590247034174
100,57,38,1.0,126.98590247034174
101,58,37,1.4142135623730951,128.40011603271483
102,58,36,1.0,129.40011603271483
103,59,36,1.0,130.40011603271483
104,58,35,1.4142135623730951,131.81432959508794
105,58,34,1.0,132.81432959508794
106,59,34,1.0,133.81432959508794
107,59,33,1.0,134.81432959508794
108,58,33,1.0,135.81432959508794
109,60,33,2.0,137.81432959508794
110,60,32,1.0,138.81432959508794
111,60,31,1.0,139.81432959508794
112,59,30,1.4142135623730951,141.22854315746105
113,59,29,1.0,142.22854315746105
114,60,29,1.0,143.22854315746105
115,61,29,1.0,144.22854315746105
116,62,29,1.0,145.22854315746105
117,63,29,1.0,146.22854315746105
118,62,30,1.4142135623730951,147.64275671983415
119,62,31,1.0,148.64275671983415
120,62,32,1.0,149.64275671983415
121,63,33,1.4142135623730951,151.05697028220726
122,64,32,1.4142135623730951,152.47118384458037
123,64,31,1.0,153.47118384458037
124,64,30,1.0,154.47118384458037
125,66,31,2.23606797749979,156.70725182208017
126,66,32,1.0,157.70725182208017
127,66,33,1.0,158.70725182208017
128,65,32,1.4142135623730951,160.12146538445327
129,64,34,2.23606797749979,162.35753336195307
130,62,34,2.0,164.35753336195307
131,61,34,1.0,165.35753336195307
132,61,33,1.0,166.35753336195307
133,61,35,2.0,168.35753336195307
134,61,36,1.0,169.35753336195307
135,61,37,1.0,170.35753336195307
136,63,37,2.0,172.35753336195307
137,63,36,1.0,173.35753336195307
138,64,37,1.4142135623730951,174.77174692432618
139,65,37,1.0,175.77174692432618
140,66,37,1.0,176.77174692432618
141,66,38,1.0,177.77174692432618
142,65,38,1.0,178.77174692432618
143,63,38,2.0,180.77174692432618
144,66,35,4.242640687119285,185.01438761144547
145,61,30,7.0710678118654755,192.08545542331095
146,61,27,3.0,195.08545542331095
147,62,26,1.4142135623730951,196.49966898568405
148,63,26,1.0,197.49966898568405
149,63,27,1.0,198.49966898568405
150,65,27,2.0,200.49966898568405
151,66,27,1.0,201.49966898568405
152,66,25,2.0,203.49966898568405
153,66,24,1.0,204.49966898568405
154,65,24,1.0,205.49966898568405
155,64,25,1.4142135623730951,206.91388254805716
156,61,24,3.1622776601683795,210.07616020822553
157,60,24,1.0,211.07616020822553
158,59,24,1.0,212.07616020822553
159,58,24,1.0,213.07616020822553
160,57,24,1.0,214.07616020822553
161,55,25,2.23606797749979,216.31222818572533
162,54,25,1.0,217.31222818572533
163,53,26,1.4142135623730951,218.72644174809844
164,54,27,1.4142135623730951,220.14065531047154
