step,x,y,segment_length,cumulative_length
1,50,45,15.524174696260024,15.524174696260024
2,51,45,1.0,16.524174696260026
3,51,44,1.0,17.524174696260026
4,52,44,1.0,18.524174696260026
5,52,43,1.0,19.524174696260026
6,52,42,1.0,20.524174696260026
7,51,42,1.0,21.524174696260026
8,51,43,1.0,22.524174696260026
9,50,43,1.0,23.524174696260026
10,50,42,1.0,24.524174696260026
11,50,41,1.0,25.524174696260026
12,51,41,1.0,26.524174696260026
13,51,40,1.0,27.524174696260026
14,52,40,1.0,28.524174696260026
15,52,39,1.0,29.524174696260026
16,51,39,1.0,30.524174696260026
17,51,38,1.0,31.524174696260026
18,51,37,1.0,32.524174696260026
19,52,37,1.0,33.524174696260026
20,52,36,1.0,34.524174696260026
21,52,35,1.0,35.524174696260026
22,51,35,1.0,36.524174696260026
23,51,34,1.0,37.524174696260026
24,51,33,1.0,38.524174696260026
25,52,33,1.0,39.524174696260026
26,52,32,1.0,40.524174696260026
27,53,32,1.0,41.524174696260026
28,53,33,1.0,42.524174696260026
29,53,34,1.0,43.524174696260026
30,54,34,1.0,44.524174696260026
31,55,34,1.0,45.524174696260026
32,55,33,1.0,46.524174696260026
33,54,33,1.0,47.524174696260026
34,54,35,2.0,49.524174696260026
35,55,35,1.0,50.524174696260026
36,55,36,1.0,51.524174696260026
37,55,37,1.0,52.524174696260026
38,56,37,1.0,53.524174696260026
39,56,36,1.0,54.524174696260026
40,57,36,1.0,55.524174696260026
41,58,36,1.0,56.524174696260026
42,59,36,1.0,57.524174696260026
43,59,37,1.0,58.524174696260026
44,58,37,1.0,59.524174696260026
45,58,38,1.0,60.524174696260026
46,57,38,1.0,61.524174696260026
47,57,37,1.0,62.524174696260026
48,56,38,1.4142135623730951,63.93838825863312
49,56,39,1.0,64.93838825863313
50,55,39,1.0,65.93838825863313
51,55,38,1.0,66.93838825863313
52,54,38,1.0,67.93838825863313
53,54,39,1.0,68.93838825863313
54,54,40,1.0,69.93838825863313
55,55,40,1.0,70.93838825863313
56,55,41,1.0,71.93838825863313
57,55,42,1.0,72.93838825863313
58,54,42,1.0,73.93838825863313
