step,x,y,segment_length,cumulative_length
199,61,38,1.0,233.57773341474802
200,62,38,1.0,234.57773341474802
201,62,39,1.0,235.57773341474802
202,64,40,2.23606797749979,237.81380139224783
203,65,40,1.0,238.81380139224783
204,65,41,1.0,239.81380139224783
205,66,41,1.0,240.81380139224783
206,66,42,1.0,241.81380139224783
207,64,44,2.8284271247461903,244.642228516994
208,65,46,2.23606797749979,246.8782964944938
209,65,47,1.0,247.8782964944938
210,67,47,2.0,249.8782964944938
211,67,46,1.0,250.8782964944938
212,68,46,1.0,251.8782964944938
213,68,47,1.0,252.8782964944938
214,64,54,8.06225774829855,260.94055424279236
215,63,54,1.0,261.94055424279236
216,64,55,1.4142135623730951,263.35476780516547
217,60,58,5.0,268.35476780516547
218,60,59,1.0,269.35476780516547
219,59,59,1.0,270.35476780516547
220,58,59,1.0,271.35476780516547
221,57,59,1.0,272.35476780516547
222,57,60,1.0,273.35476780516547
223,58,60,1.0,274.35476780516547
224,59,60,1.0,275.35476780516547
225,60,60,1.0,276.35476780516547
226,61,60,1.0,277.35476780516547
227,60,62,2.23606797749979,279.59083578266524
228,59,63,1.4142135623730951,281.00504934503834
229,58,63,1.0,282.00504934503834
230,57,63,1.0,283.00504934503834
231,56,63,1.0,284.00504934503834
232,56,62,1.0,285.00504934503834
233,56,61,1.0,286.00504934503834
234,56,60,1.0,287.00504934503834
235,55,60,1.0,288.00504934503834
236,54,60,1.0,289.00504934503834
237,54,59,1.0,290.00504934503834
238,55,59,1.0,291.00504934503834
239,54,58,1.4142135623730951,292.41926290741145
240,53,58,1.0,293.41926290741145
241,52,58,1.0,294.41926290741145
242,52,57,1.0,295.41926290741145
243,51,57,1.0,296.41926290741145
244,50,57,1.0,297.41926290741145
245,50,58,1.0,298.41926290741145
246,50,59,1.0,299.41926290741145
247,51,59,1.0,300.41926290741145
248,52,60,1.4142135623730951,301.83347646978456
249,52,61,1.0,302.83347646978456
250,53,61,1.0,303.83347646978456
251,53,62,1.0,304.83347646978456
252,54,62,1.0,305.83347646978456
253,54,63,1.0,306.83347646978456
254,54,64,1.0,307.83347646978456
255,54,65,1.0,308.83347646978456
256,55,65,1.0,309.83347646978456
257,55,63,2.0,311.83347646978456
258,55,62,1.0,312.83347646978456
259,54,61,1.4142135623730951,314.24769003215766
260,52,62,2.23606797749979,316.48375800965744
261,52,63,1.0,317.48375800965744
262,51,63,1.0,318.48375800965744
263,51,62,1.0,319.48375800965744
264,51,61,1.0,320.48375800965744
265,49,60,2.23606797749979,322.7198259871572
266,48,60,1.0,323.7198259871572
267,47,60,1.0,324.7198259871572
268,47,61,1.0,325.7198259871572
269,48,61,1.0,326.7198259871572
270,48,62,1.0,327.7198259871572
271,48,63,1.0,328.7198259871572
272,49,63,1.0,329.7198259871572
273,49,64,1.0,330.7198259871572
274,50,64,1.0,331.7198259871572
275,50,65,1.0,332.7198259871572
276,50,66,1.0,333.7198259871572
277,51,66,1.0,334.7198259871572
278,51,67,1.0,335.7198259871572
279,51,68,1.0,336.7198259871572
280,50,68,1.0,337.7198259871572
281,49,68,1.0,338.7198259871572
282,49,69,1.0,339.7198259871572
283,49,67,2.0,341.7198259871572
284,48,67,1.0,342.7198259871572
285,47,67,1.0,343.7198259871572
286,47,66,1.0,344.7198259871572
287,46,66,1.0,345.7198259871572
288,46,67,1.0,346.7198259871572
289,46,68,1.0,347.7198259871572
290,47,68,1.0,348.7198259871572
291,45,68,2.0,350.7198259871572
292,44,68,1.0,351.7198259871572
293,44,67,1.0,352.7198259871572
294,44,66,1.0,353.7198259871572
295,44,65,1.0,354.7198259871572
296,45,64,1.4142135623730951,356.1340395495303
297,46,63,1.4142135623730951,357.5482531119034
298,44,63,2.0,359.5482531119034
299,43,63,1.0,360.5482531119034
300,43,62,1.0,361.5482531119034
301,42,62,1.0,362.5482531119034
302,41,63,1.4142135623730951,363.9624666742765
303,41,64,1.0,364.9624666742765
304,40,64,1.0,365.9624666742765
305,39,64,1.0,366.9624666742765
306,38,64,1.0,367.9624666742765
307,38,63,1.0,368.9624666742765
308,39,63,1.0,369.9624666742765
309,39,62,1.0,370.9624666742765
310,40,62,1.0,371.9624666742765
311,40,61,1.0,372.9624666742765
312,41,61,1.0,373.9624666742765
313,41,60,1.0,374.9624666742765
314,42,60,1.0,375.9624666742765
315,43,60,1.0,376.9624666742765
316,43,61,1.0,377.9624666742765
317,44,61,1.0,378.9624666742765
318,45,61,1.0,379.9624666742765
319,45,60,1.0,380.9624666742765
320,46,60,1.0,381.9624666742765
321,46,61,1.0,382.9624666742765
322,47,59,2.23606797749979,385.1985346517763
323,47,58,1.0,386.1985346517763
324,48,58,1.0,387.1985346517763
325,48,57,1.0,388.1985346517763
326,49,57,1.0,389.1985346517763
327,49,56,1.0,390.1985346517763
328,50,56,1.0,391.1985346517763
329,51,55,1.4142135623730951,392.6127482141494
330,51,54,1.0,393.6127482141494
331,52,54,1.0,394.6127482141494
332,53,54,1.0,395.6127482141494
333,54,54,1.0,396.6127482141494
334,54,55,1.0,397.6127482141494
335,55,55,1.0,398.6127482141494
336,56,56,1.4142135623730951,400.0269617765225
337,56,57,1.0,401.0269617765225
338,57,57,1.0,402.0269617765225
339,58,57,1.0,403.0269617765225
340,58,58,1.0,404.0269617765225
341,56,58,2.0,406.0269617765225
342,57,61,3.1622776601683795,409.1892394366909
343,52,64,5.830951894845301,415.02019133153624
344,51,65,1.4142135623730951,416.43440489390935
345,50,63,2.23606797749979,418.6704728714091
346,49,62,1.4142135623730951,420.0846864337822
347,48,64,2.23606797749979,422.320754411282
348,48,65,1.0,423.320754411282
349,46,65,2.0,425.320754411282
350,44,62,3.605551275463989,428.926305686746
351,44,59,3.0,431.926305686746
352,44,58,1.0,432.926305686746
353,45,58,1.0,433.926305686746
354,46,58,1.0,434.926305686746
355,46,57,1.0,435.926305686746
