Timestamp,Color_1_Center_1_X,Color_1_Center_1_Y,Color_1_Center_2_X,Color_1_Center_2_Y,Color_2_Center_1_X,Color_2_Center_1_Y,Color_2_Center_2_X,Color_2_Center_2_Y
1738240942.790728,,,,,1840,501,1414,662
1738240942.845547,,,,,1839,518,1411,658
1738240942.9656987,,,,,1859,436,1426,618
1738240943.0564284,,,,,1866,419,1421,618
1738240943.2178998,,,,,1856,434,1423,616
1738240943.3022022,,,,,1868,417,1416,647
1738240943.3822212,,,,,1859,436,1427,618
1738240943.4626498,,,,,1857,435,1424,619
1738240943.5247142,,,,,1856,434,1417,650
1738240943.6520033,,,,,1870,424,1427,626
1738240943.7133732,,,,,1857,439,1413,656
1738240943.7698221,,,,,1859,434,1416,653
1738240943.8209653,,,,,1417,654,1430,624
1738240943.8981154,,,,,1430,626,1423,658
1738240943.975964,,,,,1430,626,1420,654
1738240944.0751615,,,,,1876,422,1433,626
1738240944.1605365,,,,,1862,445,1435,626
1738240944.22426,,,,,1871,431,1427,658
1738240944.3065822,,,,,1862,464,1421,656
1738240944.4042487,,,,,1864,451,1436,625
1738240944.4824412,,,,,1866,447,1442,624
1738240944.5361774,,,,,1865,447,1443,626
1738240944.6592264,,,,,1868,448,1444,625
1738240958.7822413,,,,,824,437,1019,425
1738240958.8364913,,,,,823,437,1018,425
1738240958.9400876,,,,,823,441,1018,429
1738240959.0494905,,,,,820,438,1018,425
1738240959.0996935,,,,,820,438,1015,427
1738240959.160999,,,,,813,442,1010,429
1738240959.248709,,,,,810,440,520,437
1738240959.303565,,,,,812,442,1010,428
1738240959.3572798,,,,,813,442,1010,429
1738240959.4568763,,,,,811,439,1006,426
1738240959.511959,,,,,810,441,1007,426
1738240959.5679715,,,,,813,438,1010,426
1738240959.6238148,,,,,819,436,1014,425
1738240959.6880689,,,,,818,436,1015,425
1738240959.7648227,,,,,816,436,1011,422
1738240959.8093352,,,,,813,436,1009,423
1738240959.9358478,,,,,816,433,1013,420
1738240960.0383203,,,,,818,431,1015,420
1738240960.17139,,,,,776,428,973,415
1738240960.271036,,,,,779,429,975,414
1738240960.3107564,,,,,777,434,976,421
1738240960.3724167,,,,,777,437,973,421
1738240960.443375,,,,,781,431,979,416
1738240960.5765347,,,,,789,432,983,419
1738240960.6295738,,,,,782,430,981,417
1738240960.6797645,,,,,782,427,981,413
