step,x,y,segment_length,cumulative_length
1,59,37,12.727922061357855,12.727922061357855
2,59,36,1.0,13.727922061357855
3,58,36,1.0,14.727922061357855
4,58,35,1.0,15.727922061357855
5,57,35,1.0,16.727922061357855
6,57,36,1.0,17.727922061357855
7,56,36,1.0,18.727922061357855
8,56,37,1.0,19.727922061357855
9,55,37,1.0,20.727922061357855
10,55,36,1.0,21.727922061357855
11,55,35,1.0,22.727922061357855
12,55,34,1.0,23.727922061357855
13,55,33,1.0,24.727922061357855
14,54,33,1.0,25.727922061357855
15,54,34,1.0,26.727922061357855
16,53,34,1.0,27.727922061357855
17,53,33,1.0,28.727922061357855
18,53,32,1.0,29.727922061357855
19,52,32,1.0,30.727922061357855
20,52,33,1.0,31.727922061357855
21,51,33,1.0,32.72792206135786
22,51,32,1.0,33.72792206135786
23,51,31,1.0,34.72792206135786
24,50,31,1.0,35.72792206135786
25,50,30,1.0,36.72792206135786
26,49,30,1.0,37.72792206135786
27,48,30,1.0,38.72792206135786
28,48,29,1.0,39.72792206135786
29,47,29,1.0,40.72792206135786
30,47,28,1.0,41.72792206135786
31,46,28,1.0,42.72792206135786
32,45,28,1.0,43.72792206135786
33,44,28,1.0,44.72792206135786
34,44,29,1.0,45.72792206135786
35,44,30,1.0,46.72792206135786
36,45,30,1.0,47.72792206135786
37,45,29,1.0,48.72792206135786
38,46,29,1.0,49.72792206135786
39,46,30,1.0,50.72792206135786
40,47,30,1.0,51.72792206135786
41,47,31,1.0,52.72792206135786
42,48,31,1.0,53.72792206135786
43,48,32,1.0,54.72792206135786
44,48,33,1.0,55.72792206135786
45,47,33,1.0,56.72792206135786
46,47,34,1.0,57.72792206135786
47,48,34,1.0,58.72792206135786
48,48,35,1.0,59.72792206135786
49,48,36,1.0,60.72792206135786
50,47,36,1.0,61.72792206135786
51,47,35,1.0,62.72792206135786
52,46,35,1.0,63.72792206135786
53,46,34,1.0,64.72792206135786
54,46,33,1.0,65.72792206135786
55,46,32,1.0,66.72792206135786
56,45,32,1.0,67.72792206135786
57,45,31,1.0,68.72792206135786
58,44,31,1.0,69.72792206135786
59,43,31,1.0,70.72792206135786
60,43,30,1.0,71.72792206135786
61,43,29,1.0,72.72792206135786
62,43,28,1.0,73.72792206135786
63,43,27,1.0,74.72792206135786
64,43,26,1.0,75.72792206135786
65,44,26,1.0,76.72792206135786
66,45,26,1.0,77.72792206135786
67,45,27,1.0,78.72792206135786
68,46,27,1.0,79.72792206135786
69,44,27,2.0,81.72792206135786
70,42,27,2.0,83.72792206135786
71,42,26,1.0,84.72792206135786
72,41,26,1.0,85.72792206135786
73,41,25,1.0,86.72792206135786
74,41,24,1.0,87.72792206135786
75,40,24,1.0,88.72792206135786
76,40,23,1.0,89.72792206135786
77,39,23,1.0,90.72792206135786
78,38,23,1.0,91.72792206135786
79,38,22,1.0,92.72792206135786
80,39,22,1.0,93.72792206135786
81,39,24,2.0,95.72792206135786
82,39,25,1.0,96.72792206135786
83,40,25,1.0,97.72792206135786
84,40,26,1.0,98.72792206135786
85,40,27,1.0,99.72792206135786
86,40,28,1.0,100.72792206135786
87,41,28,1.0,101.72792206135786
88,42,28,1.0,102.72792206135786
89,42,29,1.0,103.72792206135786
90,42,30,1.0,104.72792206135786
91,41,30,1.0,105.72792206135786
92,41,31,1.0,106.72792206135786
93,40,31,1.0,107.72792206135786
94,40,30,1.0,108.72792206135786
95,40,29,1.0,109.72792206135786
96,39,29,1.0,110.72792206135786
97,39,28,1.0,111.72792206135786
98,39,27,1.0,112.72792206135786
99,39,26,1.0,113.72792206135786
100,38,26,1.0,114.72792206135786
101,38,25,1.0,115.72792206135786
102,38,24,1.0,116.72792206135786
103,38,27,3.0,119.72792206135786
104,38,28,1.0,120.72792206135786
105,38,29,1.0,121.72792206135786
106,38,30,1.0,122.72792206135786
107,39,30,1.0,123.72792206135786
108,39,31,1.0,124.72792206135786
109,39,32,1.0,125.72792206135786
110,40,32,1.0,126.72792206135786
111,41,32,1.0,127.72792206135786
112,41,33,1.0,128.72792206135784
113,40,33,1.0,129.72792206135784
114,40,34,1.0,130.72792206135784
115,40,35,1.0,131.72792206135784
116,41,35,1.0,132.72792206135784
117,42,35,1.0,133.72792206135784
118,43,35,1.0,134.72792206135784
119,44,35,1.0,135.72792206135784
120,44,36,1.0,136.72792206135784
121,44,37,1.0,137.72792206135784
122,45,37,1.0,138.72792206135784
123,45,36,1.0,139.72792206135784
124,46,36,1.0,140.72792206135784
125,46,37,1.0,141.72792206135784
126,47,37,1.0,142.72792206135784
127,48,37,1.0,143.72792206135784
128,48,38,1.0,144.72792206135784
129,47,38,1.0,145.72792206135784
130,47,39,1.0,146.72792206135784
131,48,39,1.0,147.72792206135784
132,48,40,1.0,148.72792206135784
133,47,40,1.0,149.72792206135784
134,47,41,1.0,150.72792206135784
135,47,42,1.0,151.72792206135784
136,48,42,1.0,152.72792206135784
137,49,42,1.0,153.72792206135784
138,49,41,1.0,154.72792206135784
139,50,41,1.0,155.72792206135784
140,51,41,1.0,156.72792206135784
141,51,40,1.0,157.72792206135784
142,52,40,1.0,158.72792206135784
143,52,39,1.0,159.72792206135784
144,51,39,1.0,160.72792206135784
145,51,38,1.0,161.72792206135784
146,51,37,1.0,162.72792206135784
147,52,37,1.0,163.72792206135784
148,52,36,1.0,164.72792206135784
149,52,35,1.0,165.72792206135784
